Level,Build Cost ,Build Time,Experience Gained ,Boost Cost ,Capacity ,Production Rate ,Hitpoints,Time to Fill,Catch-Up Point*,Town Hall Level Required
1,150,10s,3,N/A,500,200/hr,400,2h 30m,N/A,1
2,300,1m,7,N/A,"1,000",400/hr,440,2h 30m,1m,1
3,700,15m,30,N/A,"1,500",600/hr,480,2h 30m,30m,2
4,"1,400",1h,60,N/A,"2,500",800/hr,520,3h 7m 30s,3h,2
5,"3,500",1h,60,4,"10,000","1,000/hr",560,10h,4h,3
6,"7,000",4h,120,5,"20,000","1,300/hr",600,15h 23m 5s,13h 20m,3
7,"14,000",6h,146,6,"30,000","1,600/hr",640,18h 45m,1d 2h,4
8,"28,000",8h,169,7,"50,000","1,900/hr",680,1d 2h 18m 57s,1d 18h 40m,4
9,"56,000",10h,189,8,"75,000","2,200/hr",720,1d 10h 5m 27s,2d 15h 20m,5
10,"84,000",12h,207,9,"100,000","2,800/hr",780,1d 11h 42m 52s,1d 20h,5
11,"168,000",16h,240,10,"150,000","3,500/hr",860,1d 18h 51m 26s,2d 16h,7
12,"336,000",1d,293,10,"200,000","4,200/hr",960,1d 23h 37m 9s,5d,8
13,"504,000",3d,509,11,"250,000","4,900/hr","1,080",2d 3h 1m 14s,18d,10
14,"840,000",5d,657,11,"300,000","5,600/hr","1,180",2d 5h 34m 18s,35d,11